departure_date,booking_date,cum_bookings
8/23/2012,8/18/2012,238
8/23/2012,8/19/2012,238
8/23/2012,8/20/2012,266
8/23/2012,8/21/2012,273
8/23/2012,8/22/2012,277
8/23/2012,8/23/2012,329
8/24/2012,6/25/2012,1
8/24/2012,6/26/2012,5
8/24/2012,6/27/2012,5
8/24/2012,6/28/2012,5
8/24/2012,6/29/2012,7
8/24/2012,6/30/2012,7
8/24/2012,7/1/2012,7
8/24/2012,7/2/2012,7
8/24/2012,7/3/2012,9
8/24/2012,7/4/2012,9
8/24/2012,7/5/2012,11
8/24/2012,7/6/2012,11
8/24/2012,7/7/2012,11
8/24/2012,7/8/2012,11
8/24/2012,7/9/2012,11
8/24/2012,7/10/2012,13
8/24/2012,7/11/2012,13
8/24/2012,7/12/2012,32
8/24/2012,7/13/2012,33
8/24/2012,7/14/2012,35
8/24/2012,7/15/2012,38
8/24/2012,7/16/2012,38
8/24/2012,7/17/2012,40
8/24/2012,7/18/2012,40
8/24/2012,7/19/2012,40
8/24/2012,7/20/2012,40
8/24/2012,7/21/2012,40
8/24/2012,7/22/2012,40
8/24/2012,7/23/2012,40
8/24/2012,7/24/2012,42
8/24/2012,7/25/2012,42
8/24/2012,7/26/2012,43
8/24/2012,7/27/2012,49
8/24/2012,7/28/2012,49
8/24/2012,7/29/2012,49
8/24/2012,7/30/2012,51
8/24/2012,7/31/2012,52
8/24/2012,8/1/2012,52
8/24/2012,8/2/2012,56
8/24/2012,8/3/2012,57
8/24/2012,8/4/2012,57
8/24/2012,8/5/2012,58
8/24/2012,8/6/2012,58
8/24/2012,8/7/2012,60
8/24/2012,8/8/2012,67
8/24/2012,8/9/2012,68
8/24/2012,8/10/2012,71
8/24/2012,8/11/2012,75
8/24/2012,8/12/2012,78
8/24/2012,8/13/2012,83
8/24/2012,8/14/2012,91
8/24/2012,8/15/2012,93
8/24/2012,8/16/2012,98
8/24/2012,8/17/2012,106
8/24/2012,8/18/2012,110
8/24/2012,8/19/2012,110
8/24/2012,8/20/2012,123
8/24/2012,8/21/2012,124
8/24/2012,8/22/2012,129
8/24/2012,8/23/2012,148
8/24/2012,8/24/2012,183
8/25/2012,6/26/2012,4
8/25/2012,6/27/2012,4
8/25/2012,6/28/2012,4
8/25/2012,6/29/2012,6
8/25/2012,6/30/2012,6
8/25/2012,7/1/2012,6
8/25/2012,7/2/2012,6
8/25/2012,7/3/2012,6
8/25/2012,7/4/2012,6
8/25/2012,7/5/2012,8
8/25/2012,7/6/2012,8
8/25/2012,7/7/2012,8
8/25/2012,7/8/2012,8
8/25/2012,7/9/2012,8
8/25/2012,7/10/2012,10
8/25/2012,7/11/2012,10
8/25/2012,7/12/2012,19
8/25/2012,7/13/2012,20
8/25/2012,7/14/2012,20
8/25/2012,7/15/2012,24
8/25/2012,7/16/2012,24
8/25/2012,7/17/2012,24
8/25/2012,7/18/2012,24
8/25/2012,7/19/2012,24
8/25/2012,7/20/2012,24
8/25/2012,7/21/2012,24
8/25/2012,7/22/2012,24
8/25/2012,7/23/2012,24
8/25/2012,7/24/2012,26
8/25/2012,7/25/2012,26
8/25/2012,7/26/2012,27
8/25/2012,7/27/2012,32
8/25/2012,7/28/2012,32
8/25/2012,7/29/2012,34
8/25/2012,7/30/2012,35
